Japanese,English
何,what
あなた,you
言,Word
行,line
人,Man
知,Knowledge
彼女,She
お前,you
話,Talk
来,Coming
分か,Division
聞,Hearing
死,death
時,Time
ああ,Ah
殺,Killing
前,Previous
中,During ~
達,Accomplishment
必要,need
あの,that
気,air
大丈夫,are you OK
自分,myself
持,Possession
本当,true
時間,time
我々,we
一,one
的,Talent
ありがとう,Thank you
家,House
会,Meeting
日,Day
仕事,jobs
手,hand
一緒,together
後,rear
出来,Confidentiality
他,other
入,On
電話,phone
目,Eye
分,Minute
車,car
所,Place
あんた,Aunt
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Belief
さあ,here we go
少し,a bit
使,Use
世界,world
教え,lesson
通り,Street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
物,object
女,woman
呼,Call
生き,Life
あれ,that
じゃあ,Surely
止め,Stop
心配,anxiety
母,mother
関係,relationship
外,Outside
家族,family
起き,Wake up
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
息子,son
取,Taking
全部,Whole
間,while
書,book
捜査,investigation
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,Incident
始め,start
最初,first time
連絡,contact
まあ,Oh dear
調べ,Investigation
安全,safety
下さ,Lowerness
楽し,Enjoyment
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
感じ,Feeling
得,Gain
最高,Best
送,Sending
計画,plan
仲間,fellow
先,Previous
可能,Possible
あいつ,that person
あと,another thing
明日,tomorrow
変わ,Change
聞こえ,Hearing
確認,Confirmation
着,Arrival
与え,Giving
全員,All
動,Motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,Machine
不,Disgusting
あげ,Raising
離れ,Leaving
戦,War
先生,teacher
言え,say
置,Placing
犯人,culprit
受け,received
感,Sense
第,First
伝え,Convey
素晴らし,Wonderful
ドア,door
本,Book
乗,Ride
用,for
感謝,Gratitude
正し,Correct
言葉,words
大,Big
写真,Photo
２人,Two
説明,Explanation
博士,Doctor
強,strength
絶対,absolutely
座,seat
国,Country
向か,Direction
名,Name
ある,be
野郎,Guy
番,Number
一番,number one
重要,important
状況,Status
元気,energy
水,water
変え,Change
十分,sufficient
週間,week
王,king
了解,Roger that
相手,partner
声,voice
会え,Meeting
音,sound
多く,Many
消え,vanish
会社,society
簡単,Easy
選,Selection
自由,freedom
等,etc
一体,Integral
人々,people
報告,report
読,Reading
過ぎ,Past
通,Passing
アメリカ,America
元,Origin
命令,order
高,High
大統領,President
月,Month
警官,Policeman
語,word
学校,school
対,versus
決め,Deciding
真実,truth
初めて,first time
口,mouth
大変,hard
要,Necessity
変,strange
戦争,war
学,Science
あそこ,over there
武器,weapon
店,shop
刑事,Detective
気持ち,feeling
間違,mistake
記録,record
光,light
手伝,help
深,Deep
落ち着,Calm
存在,Existence
実,fruit
役,Role
病院,hospital
住,Residence
責任,responsibility
あっ,Ah
普通,usually
行動,Behavior
大きな,big
協力,cooperation
多分,perhaps
実際,actual
足,legs
地球,Earth
生活,life
任せ,leave to
気分,Feeling
解決,Resolution
結果,result
調査,Survey
研究,the study
何処,where
発見,discover
場,Place
大事,Big
止ま,Stop
興味,interest
大き,big
なあ,In
運転,drive
多,Many
１人,One person
番号,number
状態,Status
